Time (ns),Current (nA),Voltage (mV),Energy (uJ)
710898000,162300,3594,1635.8
711757000,162300,3594,1636.2
712751000,162300,3594,1637
713610000,162300,3594,1637.4
714603000,162300,3595,1638.2
715718000,162300,3594,1638.5
716716000,162300,3595,1639.3
717575000,162300,3594,1639.7
718569000,162300,3595,1640.5
719427000,162300,3595,1640.9
720676000,162300,3595,1641.7
721533000,162300,3595,1642.1
722527000,162300,3595,1642.5
723385000,162300,3596,1643.3
724378000,162300,3595,1643.7
725492000,162300,3596,1644.5
726486000,162300,3596,1644.9
727350000,162300,3595,1645.2
728342000,162300,3595,1646.1
729200000,162300,3595,1646.4
730450000,162300,3594,1647.2
731309000,162300,3594,1647.6
732301000,162300,3594,1648.4
733159000,162300,3594,1648.8
734152000,162300,3595,1649.6
735266000,162300,3594,1650
736260000,162300,3595,1650.8
737123000,162300,3594,1651.2
738116000,162300,3595,1652
738974000,162300,3595,1652.4
740223000,162300,3596,1653.2
741087000,162300,3596,1653.6
742080000,162300,3596,1653.9
742939000,162300,3596,1654.8
743932000,162300,3596,1655.1
745046000,162300,3596,1655.9
746040000,162300,3596,1656.3
746903000,162300,3595,1656.7
747897000,162300,3595,1657.5
748755000,162300,3595,1657.9
750004000,162300,3595,1658.7
750862000,162300,3594,1659.1
751855000,162300,3595,1659.9
752714000,162300,3594,1660.3
753708000,162300,3595,1661.1
754822000,162300,3595,1661.4
755816000,162300,3596,1662.3
756674000,162300,3595,1662.6
757673000,162300,3596,1663
758530000,162300,3596,1663.8
759779000,162300,3596,1664.6
760637000,162300,3596,1665
761631000,162300,3596,1665.4
762489000,162300,3596,1666.2
763481000,162300,3596,1666.6
764596000,162300,3596,1667.4
765590000,162300,3596,1667.8
766447000,162300,3596,1668.2
767446000,162300,3595,1669
768305000,162300,3595,1669.4
769554000,162300,3594,1670.1
770411000,162300,3595,1670.5
771404000,162300,3594,1671.3
772263000,162300,3595,1671.7
773256000,162300,3595,1672.5
774370000,162300,3595,1672.9
775363000,162300,3595,1673.7
776223000,162300,3595,1674.1
777222000,162300,3595,1674.5
778079000,162300,3596,1675.3
779328000,162300,3596,1675.7
780187000,162300,3596,1676.5
781180000,162300,3596,1676.9
782039000,162300,3596,1677.2
783037000,162300,3595,1678.1
784151000,162300,3596,1678.9
785144000,162300,3595,1679.2
786002000,162300,3595,1679.6
787002000,162300,3594,1680.4
787861000,162300,3594,1680.8
789110000,162300,3594,1681.6
789968000,162300,3594,1682
790960000,162300,3594,1682.8
791819000,162300,3594,1683.2
792813000,162300,3595,1684
793926000,162300,3594,1684.4
794920000,162300,3595,1685.2
795777000,162300,3595,1685.6
796777000,162300,3595,1685.9
797635000,162300,3595,1686.8
798884000,162300,3595,1687.1
799742000,162300,3596,1687.9
800736000,162300,3595,1688.3
801595000,162300,3595,1688.7
802587000,162300,3595,1689.5
803700000,162300,3595,1689.9
804694000,162300,3594,1690.7
805551000,162300,3594,1691.1
806544000,162300,3593,1691.9
807408000,162300,3593,1692.3
808657000,162300,3593,1693.1
809516000,162300,3593,1693.5
810509000,162300,3593,1694.3
811367000,162300,3594,1694.6
812360000,162300,3594,1695.5
813473000,162300,3593,1695.8
814466000,162300,3594,1696.6
815325000,162300,3594,1697
816318000,162300,3595,1697.4
817181000,162300,3595,1698.2
818429000,162300,3595,1698.6
