Time (ns),Current (nA),Voltage (mV),Energy (uJ),DSR
"413705000","401300","3595","1044.6",""
"414958000","401300","3595","1048.4","0x3D05E9EA0000E60"
"415793000","401300","3595","1053.6","0xA2D04B34A0000E60"
"416867000","401300","3595","1055.7",""
"418057000","401300","3595","1058.2",""
"419316000","401300","3594","1061.2",""
"420450000","401300","3595","1063.8",""
"421704000","401300","3595","1066.7",""
"422778000","401300","3596","1068.8",""
"424089000","401300","3595","1071.8",""
"425222000","401300","3595","1074.3",""
"426475000","708900","3595","1077.3",""
"427609000","708900","3595","1080.3",""
"429110000","708900","3596","1085.0",""
"430307000","708900","3595","1088.4",""
"431560000","708900","3596","1092.2",""
"432693000","708900","3596","1095.6",""
"433945000","708900","3596","1099.5",""
"435019000","708900","3595","1102.0",""
"436330000","708900","3595","1106.3",""
"437463000","708900","3594","1109.3",""
"438596000","708900","3595","1112.7",""
"439855000","708900","3595","1116.5",""
"440930000","708900","3594","1119.5",""
"442120000","708900","3594","1122.9",""
"443373000","708900","3594","1126.8",""
"444506000","708900","3595","1130.2",""
"445759000","708900","3594","1134.0",""
"446837000","814200","3595","1137.0",""
"448029000","814200","3594","1140.4",""
"449288000","814200","3594","1144.2",""
"450422000","814200","3594","1147.7",""
"451674000","814200","3594","1151.5",""
"452748000","814200","3593","1154.0",""
"454058000","814200","3593","1158.3",""
"455190000","814200","3593","1161.3",""
"456444000","814200","3593","1165.1",""
"457576000","814200","3593","1168.5",""
"459084000","814200","3592","1172.8",""
"460276000","814200","3593","1176.2",""
"461409000","814200","3593","1179.6",""
"462661000","814200","3593","1183.5",""
"463795000","814200","3593","1186.9",""
"465297000","814200","3594","1191.6",""
"466488000","819700","3593","1195.0",""
"467622000","819700","3594","1198.4",""
"468879000","819700","3594","1201.8",""
"470013000","819700","3594","1205.2",""
"471506000","819700","3594","1209.9",""
"472706000","819700","3595","1213.3",""
"473840000","819700","3595","1216.7",""
"474972000","819700","3594","1219.7",""
"476225000","819700","3594","1223.5",""
"477299000","819700","3594","1226.5",""
"478490000","819700","3594","1229.9",""
"479748000","819700","3593","1233.8",""
"480881000","819700","3593","1237.2",""
"482134000","819700","3593","1241.0",""
"483208000","819700","3593","1244.0",""
"484400000","819700","3594","1247.4",""
"485653000","819700","3594","1251.3",""
"486787000","810900","3595","1254.2",""
"488040000","810900","3594","1258.1",""
"489123000","810900","3594","1261.1",""
"490433000","810900","3594","1264.9",""
"491567000","810900","3594","1268.3",""
"492819000","810900","3593","1272.1",""
"493952000","810900","3594","1275.6",""
"495455000","810900","3594","1279.8",""
"496647000","810900","3594","1283.7",""
"497779000","810900","3594","1286.6",""
"499037000","810900","3594","1290.5",""
"500170000","810900","3594","1293.9",""
"501672000","810900","3595","1298.2",""
"502864000","810900","3595","1302.0",""
"503996000","810900","3595","1305.0",""
"505249000","810900","3595","1308.8",""
"506382000","822000","3594","1312.2",""
"507885000","822000","3594","1316.9",""
"509082000","822000","3594","1320.3",""
"510214000","822000","3594","1323.7",""
"511468000","822000","3594","1327.1",""
"512600000","822000","3593","1330.6",""
"514102000","822000","3595","1335.3",""
"515294000","822000","3594","1338.7",""
"516427000","822000","3594","1342.1",""
"517681000","822000","3595","1345.9",""
"518818000","822000","3594","1348.9",""
"520320000","822000","3595","1353.6",""
"521512000","822000","3595","1357.0",""
"522645000","822000","3595","1360.4",""
"523899000","822000","3595","1364.2",""
"525032000","822000","3595","1367.2",""
"526534000","822800","3595","1371.9",""
"527726000","822800","3595","1375.3",""
"528865000","822800","3595","1378.7",""
"529999000","822800","3595","1382.2",""
"531256000","822800","3595","1385.6",""
"532331000","822800","3594","1388.5",""
"533521000","822800","3595","1391.9",""
"534774000","822800","3593","1395.8",""
"535907000","822800","3594","1399.2",""
"537159000","822800","3593","1403.0",""
"538234000","822800","3594","1406.0",""
"539430000","822800","3594","1409.4",""
"540683000","822800","3595","1413.3",""
"541817000","822800","3594","1416.7",""
"543070000","822800","3595","1420.5",""
"544136000","822800","3594","1423.1",""
"545454000","822800","3594","1427.3",""
"546588000","814900","3594","1430.8",""
"547841000","814900","3594","1434.2",""
"548980000","814900","3594","1437.6",""
"550482000","814900","3595","1442.3",""
"551672000","814900","3595","1445.7",""
"552805000","814900","3595","1449.1",""
"554058000","814900","3595","1452.9",""
"555192000","814900","3596","1455.9",""
"556694000","814900","3596","1460.6",""
"557886000","814900","3595","1464.0",""
"559023000","814900","3596","1467.4",""
"560276000","814900","3596","1471.3",""
"561410000","814900","3596","1474.7",""
"562911000","814900","3596","1478.9",""
"564102000","814900","3596","1482.3",""
"565236000","814900","3596","1485.8",""
"566489000","821300","3596","1489.6",""
"567623000","821300","3597","1493.0",""
"569132000","821300","3596","1497.3",""
"570323000","821300","3596","1500.7",""
"571455000","821300","3596","1504.1",""
"572712000","821300","3596","1507.9",""
"573845000","821300","3597","1511.3",""
"575348000","821300","3596","1515.6",""
"576540000","821300","3596","1519.0",""
"577673000","821300","3596","1522.4",""
"578932000","821300","3595","1526.3",""
"580065000","821300","3596","1529.7",""
"581569000","821300","3595","1533.9",""
"582759000","821300","3595","1537.3",""
"583892000","821300","3594","1540.8",""
"585146000","821300","3594","1544.6",""
"586278000","819900","3594","1548.0",""
"587781000","819900","3594","1552.3",""
"588977000","819900","3594","1556.1",""
"590111000","819900","3594","1559.1",""
"591363000","819900","3594","1562.9",""
"592497000","819900","3594","1566.3",""
"593999000","819900","3594","1570.6",""
"595190000","819900","3594","1574.4",""
"596541000","819900","3595","1578.3","0x82D00000A0000E60"
"597674000","819900","3594","1581.7",""
"598932000","819900","3595","1585.5",""
"600008000","819900","3594","1588.5",""
"601318000","819900","3594","1592.3","0xA2D00000A0000E60"
"602452000","819900","3594","1595.8",""
"603802000","819900","3594","1600.0","0x82D00000A0000E60"
"604936000","819900","3593","1603.0",""
"606438000","822500","3594","1607.7",""
"607630000","822500","3594","1611.1",""
"608889000","822500","3594","1614.9","0xA2D04B34A0000E60"
"610022000","822500","3594","1618.4",""
"611274000","822500","3595","1622.2",""
"612349000","822500","3594","1625.2",""
"613660000","822500","3595","1629.0",""
"614799000","822500","3595","1632.4",""
"616051000","822500","3595","1636.3",""
"617183000","822500","3594","1639.2",""
"618685000","822500","3594","1643.9",""
"619883000","822500","3594","1647.4",""
"621136000","822500","3594","1651.2",""
"622487000","822500","3595","1655.0","0x82D00000A0000E60"
"623620000","822500","3594","1658.4",""
"625123000","822500","3594","1663.1",""
"626315000","822300","3594","1666.5",""
"627567000","822300","3594","1670.4","0xA2D04B34A0000E60"
"628700000","822300","3595","1673.8",""
"629958000","822300","3595","1677.2",""
"631032000","822300","3594","1680.2",""
"632343000","822300","3595","1684.5",""
"633476000","822300","3594","1687.4",""
"634730000","822300","3595","1691.3",""
"635863000","822300","3594","1694.7",""
"637366000","822300","3595","1699.4",""
"638557000","822300","3595","1702.8",""
"639816000","822300","3595","1706.6",""
"641166000","822300","3595","1710.5","0x82D00000A0000E60"
"642300000","822300","3595","1713.9",""
"643803000","822300","3596","1718.1",""
"644995000","822300","3596","1722.0",""
"646246000","826100","3596","1725.8","0xA2D04B34A0000E60"
"647380000","826100","3597","1728.8",""
"648633000","826100","3596","1732.6",""
"649712000","826100","3596","1735.6",""
"651022000","826100","3596","1739.5",""
"652156000","826100","3595","1742.9",""
"653408000","826100","3595","1746.7",""
"654541000","826100","3595","1750.1",""
"656043000","826100","3595","1754.4",""
"657239000","826100","3595","1758.2",""
"658492000","826100","3595","1761.6",""
"659631000","826100","3596","1765.0",""
"660763000","826100","3596","1768.4",""
"662265000","826100","3596","1773.1",""
"663455000","826100","3596","1776.6",""
"664708000","826100","3596","1779.5",""
"665843000","826100","3595","1782.5",""
"666975000","799500","3596","1785.5",""
"668477000","799500","3595","1789.3",""
"669674000","799500","3595","1792.3",""
"670927000","799500","3595","1795.7",""
"672060000","799500","3595","1798.7",""
"673192000","799500","3594","1801.2",""
"674694000","799500","3594","1805.0",""
"675885000","799500","3594","1808.0",""
"677139000","799500","3593","1811.4",""
"678272000","799500","3593","1814.4",""
"679411000","799500","3594","1817.4",""
"680915000","799500","3594","1821.2",""
"682104000","799500","3594","1824.2",""
"683357000","799500","3593","1827.1",""
"684491000","799500","3593","1830.1",""
"685624000","799500","3593","1833.1",""
"687128000","799500","3593","1836.9",""
"688319000","799500","3593","1839.9",""
"689576000","710500","3593","1843.3",""
"690710000","710500","3593","1845.8",""
"691843000","710500","3592","1848.8",""
"693345000","710500","3593","1852.6",""
"694537000","710500","3592","1855.6",""
"695790000","710500","3593","1859.0",""
"696924000","710500","3593","1861.6",""
"698274000","710500","3593","1865.4","0x82D00000A0000E60"
"699359000","710500","3593","1867.9","0xA2D04B34A0000E60"
"700550000","710500","3593","1870.5",""
"701802000","710500","3593","1872.1","0x82D00000A0000E60"
"702936000","710500","3594","1873.4",""
"704188000","710500","3593","1875.0",""
"705789000","710500","3593","1877.1",""
"706981000","710500","3593","1878.4",""
"708234000","710500","3593","1880.0","0xA2D00000A0000E60"
"709373000","710500","3593","1881.7","0x3D04B4AA0000E60"
"710110000","710500","3593","1882.1","0xA2D04B34A0000E60"
"711183000","710500","3593","1883.3",""
"712493000","710500","3592","1885.0",""
"713843000","710500","3593","1887.1","0x82D00000A0000E60"
"714977000","710500","3593","1888.3",""
"716230000","710500","3593","1890.0",""
"717305000","710500","3593","1891.2",""
"718616000","710500","3593","1892.9","0xA2D00000A0000E60"
"719754000","710500","3593","1894.1","0x3D04B54A0000E60"
"720492000","710500","3593","1895.0","0xA2D04B34A0000E60"
"721624000","710500","3593","1896.2",""
"723127000","710500","3594","1898.7",""
"724318000","466900","3594","1901.7",""
"725571000","466900","3593","1904.7",""
"726704000","466900","3594","1907.6",""
"727957000","466900","3594","1911.0",""
"729037000","466900","3593","1913.2","0x3D04B42A0000E60"
"729832000","466900","3594","1915.3","0xA2D04B34A0000E60"
"730966000","466900","3593","1917.8",""
"732218000","466900","3593","1921.2",""
"733568000","466900","3594","1924.6","0x82D00000A0000E60"
"734643000","466900","3594","1927.2","0xA2D04B34A0000E60"
"735834000","466900","3594","1928.4",""
"737085000","466900","3594","1930.1",""
"738220000","466900","3594","1931.7",""
"739478000","466900","3594","1933.4",""
"741084000","466900","3593","1935.1","0x82D00000A0000E60"
"742275000","466900","3593","1936.7",""
"743528000","466900","3594","1938.4","0xA2D00000A0000E60"
"744662000","466900","3594","1939.6",""
"745914000","466900","3594","1941.7",""
"746981000","466900","3594","1944.3",""
"748179000","466900","3594","1947.2",""
"749437000","466900","3593","1950.2",""
"750570000","466900","3593","1953.2",""
"751823000","466900","3593","1956.6",""
"752897000","558500","3594","1959.1",""
"754207000","558500","3594","1962.5",""
"755339000","558500","3593","1965.1",""
"756591000","558500","3593","1968.5",""
"757725000","558500","3593","1971.0",""
"759233000","558500","3593","1973.1",""
"760423000","558500","3593","1974.4",""
"761675000","558500","3593","1976.0",""
"762809000","558500","3593","1977.3",""
"764061000","558500","3593","1978.9",""
"765136000","558500","3593","1980.2",""
"766447000","558500","3593","1981.8",""
"767580000","558500","3593","1983.5",""
"768713000","558500","3593","1984.7",""
"769971000","558500","3593","1986.4",""
"771045000","558500","3593","1987.6",""
"772236000","558500","3593","1988.9",""
"773489000","558500","3592","1990.5",""
"774621000","558500","3593","1992.2",""
"775875000","558500","3593","1993.9",""
"776948000","558500","3593","1994.7",""
"778139000","558500","3593","1996.4",""
"779397000","558500","3593","1998.0",""
"780531000","558500","3593","2000.1",""
"781665000","558500","3593","2002.7",""
"783173000","558500","3593","2006.5",""
"784364000","558500","3593","2009.5",""
"785617000","558500","3594","2012.9",""
"786751000","558500","3593","2015.9",""
"787885000","473900","3594","2018.8",""
"789384000","473900","3595","2022.2",""
"790583000","473900","3594","2025.6",""
"791835000","473900","3595","2028.6",""
"792969000","473900","3595","2029.8",""
"794102000","473900","3595","2031.1",""
"795606000","473900","3595","2033.2",""
"796797000","473900","3595","2034.4",""
