Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"640278000","72202100","3574","1.97969596E7"
"641271000","72266300","3574","1.97972178E7"
"642384000","72441500","3574","1.9797508E7"
"643382000","72441500","3574","1.97977675E7"
"644241000","72307800","3573","1.97979915E7"
"645234000","72307800","3573","1.97982505E7"
"646093000","72469500","3573","1.97984745E7"
"647341000","72396600","3573","1.97987998E7"
"648199000","72396600","3573","1.97990238E7"
"649192000","72494600","3574","1.97992828E7"
"650050000","72494600","3574","1.97995068E7"
"651042000","72456300","3574","1.97997655E7"
"652157000","72632100","3574","1.9800057E7"
"653155000","72632100","3574","1.98003173E7"
"654014000","72560300","3575","1.98005421E7"
"655008000","72560300","3575","1.98008007E7"
"656093000","72441200","3574","1.98010842E7"
